"","H_DATE","H_URLTeam","A_URLTeam","H_Tpct","H_TLast10","H_HRpct","H_HRLast10","H_ARpct","H_ARLast10","A_Tpct","A_TLast10","A_HRpct","A_HRLast10","A_ARpct","A_ARLast10","H_Outcome"
"1","Fri, Nov 5","TOR","CLE",0.666666666666667,0.666666666666667,0.4,0.4,1,1,0.555555555555556,0.555555555555556,0.5,0.5,0.5,0.5,"0"
"2","Sun, Nov 7","TOR","BKN",0.6,0.6,0.333333333333333,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.6,0.6,0.666666666666667,0.666666666666667,"0"
"3","Sat, Nov 13","TOR","DET",0.538461538461538,0.6,0.285714285714286,0.285714285714286,0.8,0.8,0.181818181818182,0.2,0.25,0.25,0.166666666666667,0.166666666666667,"0"
"4","Sun, Nov 28","TOR","BOS",0.45,0.3,0.25,0.25,0.636363636363636,0.6,0.5,0.6,0.625,0.625,0.454545454545455,0.5,"0"
"5","Tue, Nov 30","TOR","MEM",0.428571428571429,0.3,0.222222222222222,0.222222222222222,0.636363636363636,0.6,0.5,0.4,0.545454545454545,0.5,0.375,0.375,"0"
"6","Thu, Dec 2","TOR","MIL",0.409090909090909,0.3,0.2,0.2,0.636363636363636,0.6,0.636363636363636,0.8,0.6,0.6,0.636363636363636,0.7,"1"
"7","Sun, Dec 5","TOR","WSH",0.434782608695652,0.3,0.272727272727273,0.3,0.636363636363636,0.6,0.608695652173913,0.4,0.8,0.8,0.5,0.5,"1"
"8","Wed, Dec 8","TOR","OKC",0.458333333333333,0.4,0.333333333333333,0.4,0.636363636363636,0.6,0.304347826086957,0.2,0.4,0.4,0.25,0.3,"0"
"9","Fri, Dec 10","TOR","NY",0.44,0.4,0.307692307692308,0.4,0.636363636363636,0.6,0.48,0.4,0.416666666666667,0.4,0.583333333333333,0.5,"1"
"10","Mon, Dec 13","TOR","SAC",0.461538461538462,0.5,0.357142857142857,0.4,0.636363636363636,0.6,0.407407407407407,0.5,0.333333333333333,0.4,0.428571428571429,0.3,"1"
"11","Sat, Dec 18","TOR","GS",0.464285714285714,0.5,0.4,0.4,0.583333333333333,0.5,0.827586206896552,0.7,0.866666666666667,0.9,0.769230769230769,0.7,"1"
"12","Tue, Dec 28","TOR","PHI",0.466666666666667,0.5,0.4375,0.5,0.538461538461538,0.4,0.515151515151515,0.5,0.461538461538462,0.4,0.578947368421053,0.6,"0"
"13","Fri, Dec 31","TOR","LAC",0.451612903225806,0.5,0.411764705882353,0.5,0.538461538461538,0.4,0.514285714285714,0.5,0.571428571428571,0.4,0.461538461538462,0.5,"1"
"14","Sun, Jan 2","TOR","NY",0.46875,0.6,0.444444444444444,0.6,0.538461538461538,0.4,0.472222222222222,0.5,0.352941176470588,0.3,0.555555555555556,0.5,"1"
"15","Tue, Jan 4","TOR","SA",0.484848484848485,0.6,0.473684210526316,0.7,0.538461538461538,0.4,0.4,0.5,0.4375,0.5,0.388888888888889,0.5,"1"
"16","Fri, Jan 7","TOR","UTAH",0.514285714285714,0.7,0.5,0.8,0.5,0.3,0.736842105263158,0.8,0.7,0.8,0.823529411764706,1,"1"
"17","Sun, Jan 9","TOR","NO",0.527777777777778,0.7,0.523809523809524,0.8,0.5,0.3,0.358974358974359,0.6,0.388888888888889,0.5,0.3,0.5,"1"
"18","Tue, Jan 11","TOR","PHX",0.540540540540541,0.7,0.545454545454545,0.8,0.5,0.3,0.769230769230769,0.6,0.80952380952381,0.8,0.764705882352941,0.7,"0"
"19","Sun, Jan 23","TOR","POR",0.511627906976744,0.6,0.521739130434783,0.8,0.473684210526316,0.3,0.422222222222222,0.6,0.541666666666667,0.3,0.25,0.4,"0"
"20","Tue, Jan 25","TOR","CHA",0.5,0.5,0.5,0.7,0.473684210526316,0.3,0.553191489361702,0.7,0.684210526315789,0.6,0.481481481481481,0.6,"1"
"21","Tue, Feb 1","TOR","MIA",0.520833333333333,0.5,0.52,0.7,0.5,0.4,0.627450980392157,0.6,0.782608695652174,0.9,0.518518518518518,0.5,"1"
"22","Thu, Feb 3","TOR","CHI",0.530612244897959,0.6,0.538461538461538,0.7,0.5,0.4,0.64,0.5,0.75,0.8,0.52,0.4,"1"
"23","Fri, Feb 4","TOR","ATL",0.54,0.6,0.555555555555556,0.8,0.5,0.4,0.490196078431373,0.8,0.538461538461538,0.6,0.416666666666667,0.4,"1"
"24","Sat, Feb 12","TOR","DEN",0.574074074074074,0.9,0.571428571428571,0.8,0.56,0.6,0.545454545454545,0.6,0.583333333333333,0.6,0.5,0.5,"0"
"25","Tue, Mar 1","TOR","BKN",0.55,0.6,0.551724137931034,0.7,0.533333333333333,0.6,0.516129032258065,0.3,0.448275862068966,0.3,0.59375,0.2,"1"
"26","Thu, Mar 3","TOR","DET",0.557377049180328,0.6,0.566666666666667,0.7,0.533333333333333,0.6,0.241935483870968,0.3,0.310344827586207,0.3,0.1875,0.3,"0"
"27","Fri, Mar 4","TOR","ORL",0.548387096774194,0.5,0.548387096774194,0.6,0.533333333333333,0.6,0.238095238095238,0.3,0.25,0.5,0.235294117647059,0.3,"0"
"28","Fri, Mar 18","TOR","LAL",0.565217391304348,0.7,0.53125,0.5,0.583333333333333,0.6,0.420289855072464,0.2,0.555555555555556,0.5,0.28125,0,"0"
"29","Wed, Nov 17","MIL","LAL",0.428571428571429,0.3,0.2,0.2,0.625,0.625,0.533333333333333,0.6,0.636363636363636,0.7,0.333333333333333,0.333333333333333,"1"
"30","Fri, Nov 19","MIL","OKC",0.466666666666667,0.4,0.333333333333333,0.333333333333333,0.625,0.625,0.428571428571429,0.6,0.428571428571429,0.428571428571429,0.333333333333333,0.333333333333333,"1"
"31","Sat, Nov 20","MIL","ORL",0.5,0.5,0.428571428571429,0.428571428571429,0.625,0.625,0.25,0.3,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,"1"
"32","Mon, Nov 22","MIL","ORL",0.529411764705882,0.6,0.5,0.5,0.625,0.625,0.235294117647059,0.3,0.166666666666667,0.166666666666667,0.3,0.3,"1"
"33","Wed, Nov 24","MIL","DET",0.555555555555556,0.6,0.555555555555556,0.555555555555556,0.625,0.625,0.235294117647059,0.3,0.222222222222222,0.222222222222222,0.285714285714286,0.285714285714286,"1"
"34","Wed, Dec 1","MIL","CHA",0.619047619047619,0.8,0.6,0.6,0.6,0.6,0.565217391304348,0.7,0.75,0.75,0.428571428571429,0.3,"1"
"35","Sat, Dec 4","MIL","MIA",0.608695652173913,0.8,0.636363636363636,0.6,0.636363636363636,0.7,0.608695652173913,0.6,0.75,0.75,0.571428571428571,0.5,"1"
"36","Mon, Dec 6","MIL","CLE",0.625,0.9,0.666666666666667,0.7,0.636363636363636,0.7,0.541666666666667,0.4,0.454545454545455,0.5,0.666666666666667,0.7,"1"
"37","Wed, Dec 15","MIL","IND",0.620689655172414,0.7,0.692307692307692,0.8,0.6,0.6,0.413793103448276,0.4,0.6,0.6,0.230769230769231,0.3,"1"
